iter	Passed	Remaining
0	2	210
1	4	204
2	6	208
3	8	198
4	10	199
5	14	221
6	16	213
7	18	207
8	19	200
9	22	200
10	24	195
11	28	206
12	30	206
13	32	201
14	34	196
15	36	191
16	38	185
17	40	183
18	44	189
19	46	185
20	49	184
21	50	179
22	52	176
23	54	173
24	58	176
25	60	172
26	62	168
27	63	164
28	65	161
29	68	159
30	70	157
31	74	157
32	76	154
33	78	151
34	80	149
35	83	147
36	85	145
37	91	148
38	93	147
39	96	144
40	98	142
41	99	137
42	101	133
43	103	132
44	106	129
45	107	126
46	110	124
47	111	121
48	114	118
49	116	116
50	121	116
51	123	113
52	125	111
53	127	108
54	128	105
55	130	102
56	133	100
57	135	98
58	137	95
59	139	92
60	141	90
61	143	87
62	145	85
63	149	84
64	152	81
65	153	79
66	155	76
67	157	74
68	159	71
69	161	69
70	166	67
71	168	65
72	169	62
73	171	60
74	174	58
75	176	55
76	180	53
77	182	51
78	184	48
79	185	46
80	187	44
81	189	41
82	191	39
83	195	37
84	197	34
85	199	32
86	200	30
87	202	27
88	204	25
89	207	23
90	209	20
91	211	18
92	214	16
93	215	13
94	217	11
95	219	9
96	224	6
97	227	4
98	228	2
99	230	0
